AC_No,AC_Name,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Share_%,Source_URL,Rank_In_Constituency
93,Kurhani,GULAB KUMAR RAJAK,Independent,491,3,494,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,15
93,Kurhani,SANJEET MANJHI,Socialist Unity Centre Of India (COMMUNIST),435,1,436,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,16
93,Kurhani,DR. SANTOSH KUMAR,Independent,400,2,402,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,17
93,Kurhani,BAIJU KUMAR RAY,Samata Party,306,1,307,0.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,18
93,Kurhani,ARVIND KUMAR,Independent,276,2,278,0.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,19
93,Kurhani,SURESH KUMAR GUPTA,Independent,263,1,264,0.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,20
93,Kurhani,ROHIT KUMAR,Right to Recall Party,238,2,240,0.1,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0493.htm,21
94,Muzaffarpur,RANJAN KUMAR,Bharatiya Janata Party,100060,417,100477,53.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,1
94,Muzaffarpur,BIJENDRA CHAUDHARY,Indian National Congress,67456,364,67820,36.06,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,2
94,Muzaffarpur,DR. A.K. DAS,Jan Suraaj Party,10077,96,10173,5.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,3
94,Muzaffarpur,SANJAY KUMAR KEJRIWAL,Independent,1645,6,1651,0.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,4
94,Muzaffarpur,CHANDRA BHUSHAN PRASAD,Independent,954,3,957,0.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,5
94,Muzaffarpur,KANHAIYA KUMAR,Independent,803,2,805,0.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,6
94,Muzaffarpur,SANJAY KUMAR S/O JATAN RAJAK,Independent,753,0,753,0.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,7
94,Muzaffarpur,SHANU KUMAR,Aazad Samaj Party (Kanshi Ram),656,7,663,0.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,8
94,Muzaffarpur,NOTA,None of the Above,597,9,606,0.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,9
94,Muzaffarpur,BASKIT KUMAR SHARMA,Independent,604,0,604,0.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,10
94,Muzaffarpur,BALAK NATH SAHANI,Bahujan Samaj Party,593,1,594,0.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,11
94,Muzaffarpur,SANJAY KUMAR S/O LATE NAND KISHOR PRASAD,Independent,460,0,460,0.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,12
94,Muzaffarpur,MD HASAN,Aam Aadmi Party,433,1,434,0.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,13
94,Muzaffarpur,ANAND PATEL,Independent,386,2,388,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,14
94,Muzaffarpur,ASHOK KUMAR JHA,Garib Janshakti Party,301,0,301,0.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,15
94,Muzaffarpur,DHANVANTI DEVI,Lok Chetna Dal,275,0,275,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,16
94,Muzaffarpur,AWADHESH PRASAD SINGH,Independent,272,1,273,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,17
94,Muzaffarpur,MANOJ KUMAR,Rashtriya Jansambhavna Party,223,0,223,0.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,18
94,Muzaffarpur,MD SHABBIR ANSARI,Independent,221,1,222,0.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,19
94,Muzaffarpur,AJAY KUMAR,Bajjikanchal Vikas Party,220,1,221,0.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,20
94,Muzaffarpur,AMAN KUMAR JHA,Socialist Unity Centre Of India (COMMUNIST),171,0,171,0.09,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0494.htm,21
95,Kanti,AJIT KUMAR,Janata Dal (United),116893,406,117299,50.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,1
95,Kanti,MOHAMMAD ISRAIL MANSURI,Rashtriya Janata Dal,91136,368,91504,39.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,2
95,Kanti,NOTA,None of the Above,7819,4,7823,3.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,3
95,Kanti,SUDARSHAN MISHRA,Jan Suraaj Party,4209,42,4251,1.83,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,4
95,Kanti,SURESH KUMAR GUPTA,Independent,2888,1,2889,1.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,5
95,Kanti,KUMARI SHEETAL,Aazad Samaj Party (Kanshi Ram),2584,10,2594,1.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,6
95,Kanti,RANJIT KUMAR JHA ALIAS PINAKI JHA,Independent,1236,1,1237,0.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,7
95,Kanti,VIVEK KUMAR,Bahujan Samaj Party,1197,3,1200,0.52,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,8
95,Kanti,LAL BABU ROY,Socialist Unity Centre Of India (COMMUNIST),1194,3,1197,0.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,9
95,Kanti,AJIT KUMAR,Independent,748,3,751,0.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,10
95,Kanti,BIRENDRA KUMAR,Rashtriya Jansambhavna Party,588,1,589,0.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,11
95,Kanti,MD JAFRUDIN,Independent,532,0,532,0.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,12
95,Kanti,ANAND KUMAR JHA,Lok Chetna Dal,387,0,387,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,13
95,Kanti,PRANJAL PRAKALP,Kisan Suraj Dal,345,2,347,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0495.htm,14
96,Baruraj,ARUN KUMAR SINGH,Bharatiya Janata Party,96663,216,96879,47.14,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,1
96,Baruraj,RAKESH KUMAR,Vikassheel Insaan Party,67629,198,67827,33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,2
96,Baruraj,HIRALAL KHARIA,Jan Suraaj Party,19898,37,19935,9.7,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,3
96,Baruraj,NOTA,None of the Above,4924,2,4926,2.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,4
96,Baruraj,AWADHESH KUMAR GUPTA,Independent,4854,3,4857,2.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,5
96,Baruraj,NASIMA  KHATOON,Bahujan Samaj Party,2940,4,2944,1.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,6
96,Baruraj,VIDHYALAL SAHANI,Lok Chetna Dal,2032,3,2035,0.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,7
96,Baruraj,SANTOSH KUMAR,Independent,1682,0,1682,0.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,8
96,Baruraj,SANJAY KUMAR PASWAN,Rashtriya Lok Janshakti Party,1578,0,1578,0.77,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,9
96,Baruraj,RAJESH KUMAR SAH,Independent,997,0,997,0.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,10
96,Baruraj,RAJESH KUMAR,Independent,704,0,704,0.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,11
96,Baruraj,MADHAV BHAKTA,Socialist Unity Centre Of India (COMMUNIST),628,5,633,0.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,12
96,Baruraj,MD. ANZAR,Rashtriya Ulama Council,511,1,512,0.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0496.htm,13
97,Paroo,SHANKAR PRASAD,Rashtriya Janata Dal,94884,388,95272,41.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,1
97,Paroo,MADAN CHAUDHARY,Rashtriya Lok Morcha,66283,162,66445,29.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,2
97,Paroo,ASHOK KUMAR SINGH,Independent,40462,199,40661,17.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,3
97,Paroo,RANJANA KUMARI,Jan Suraaj Party,6771,54,6825,2.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,4
97,Paroo,VIJAY KUMAR,Bahujan Samaj Party,4492,17,4509,1.98,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,5
97,Paroo,MANISH KUMAR SINGH,Independent,2854,2,2856,1.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,6
97,Paroo,NOTA,None of the Above,2699,2,2701,1.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,7
97,Paroo,VIJAY THAKUR,Independent,2691,1,2692,1.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,8
97,Paroo,NIRAJ KUMAR,Independent,2300,1,2301,1.01,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,9
97,Paroo,ASHUTOSH KUMAR,Independent,2247,1,2248,0.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,10
97,Paroo,NANHAK SAH,Socialist Unity Centre Of India (COMMUNIST),1646,7,1653,0.72,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0497.htm,11
98,Sahebganj,RAJU KUMAR SINGH,Bharatiya Janata Party,106077,245,106322,48.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,1
98,Sahebganj,PRITHWINATH RAY,Rashtriya Janata Dal,92473,327,92800,42.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,2
98,Sahebganj,NOTA,None of the Above,4731,5,4736,2.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,3
98,Sahebganj,THAKUR HARI KISHORE SINGH,Jan Suraaj Party,4179,18,4197,1.91,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,4
98,Sahebganj,VIKKY KUMAR,Independent,4187,0,4187,1.91,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,5
98,Sahebganj,BINDA MAHATO,Bahujan Samaj Party,2533,8,2541,1.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,6
98,Sahebganj,SHAMBHU SAH,Independent,1158,0,1158,0.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,7
98,Sahebganj,RAJAN KUMAR,Independent,975,1,976,0.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,8
98,Sahebganj,MUKESH KUMAR SINGH,Independent,844,5,849,0.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,9
98,Sahebganj,RANJEET KUMAR,Independent,449,2,451,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,10
98,Sahebganj,SUKHARI DAS,Socialist Unity Centre Of India (COMMUNIST),419,1,420,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,11
98,Sahebganj,YOGENDRA KUMAR YADAV,Independent,373,0,373,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,12
98,Sahebganj,MOTIUR RAHMAN,Independent,356,1,357,0.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,13
98,Sahebganj,JAI PRAKASH KUMAR,Independent,183,0,183,0.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0498.htm,14
99,Baikunthpur,MITHILESH TIWARI,Bharatiya Janata Party,103801,332,104133,49.05,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0499.htm,1
99,Baikunthpur,PREM SHANKAR PRASAD,Rashtriya Janata Dal,86590,590,87180,41.07,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0499.htm,2
99,Baikunthpur,AJAY PRASAD,Jan Suraaj Party,7305,30,7335,3.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0499.htm,3
99,Baikunthpur,PRADEEP KUMAR,Bahujan Samaj Party,4116,26,4142,1.95,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0499.htm,4
99,Baikunthpur,RAM NARAYAN SINGH,Rashtrawadi Janlok Party (Satya),3489,8,3497,1.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0499.htm,5
99,Baikunthpur,RAJ KISHOR SINGH,Independent,2405,3,2408,1.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0499.htm,6
99,Baikunthpur,NOTA,None of the Above,2011,7,2018,0.95,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0499.htm,7
99,Baikunthpur,MOHAN MAHATO,Rashtriya Jansambhavna Party,1571,3,1574,0.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0499.htm,8
100,Barauli,MANJEET KUMAR SINGH,Janata Dal (United),88339,318,88657,45.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,1
100,Barauli,DILIP KUMAR SINGH,Rashtriya Janata Dal,75917,366,76283,39.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,2
100,Barauli,REYAZUL HAQUE URF RAJU,Bahujan Samaj Party,13335,62,13397,6.9,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,3
100,Barauli,SONU KUMAR,Independent,4804,0,4804,2.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,4
100,Barauli,NOTA,None of the Above,4001,5,4006,2.06,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,5
100,Barauli,FAIZ AHMAD,Jan Suraaj Party,2884,27,2911,1.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,6
100,Barauli,SITA DEVI,Independent,2197,7,2204,1.14,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,7
100,Barauli,MANJU KUMARI,Independent,690,1,691,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,8
100,Barauli,KRISHNA SHAH,Independent,649,1,650,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,9
100,Barauli,RUDAL MAHATO,Rashtriya Jansambhavna Party,571,3,574,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04100.htm,10
101,Gopalganj,SUBHASH SINGH,Bharatiya Janata Party,96353,539,96892,48.72,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04101.htm,1
101,Gopalganj,OM PRAKASH GARG,Indian National Congress,67546,374,67920,34.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04101.htm,2
101,Gopalganj,ANASH SALAM,All India Majlis-E-Ittehadul Muslimeen,14162,63,14225,7.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04101.htm,3
101,Gopalganj,INDIRA YADAV,Bahujan Samaj Party,7924,155,8079,4.06,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04101.htm,4
101,Gopalganj,ANUP KUMAR SHRIVASTAVA,Independent,5074,42,5116,2.57,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04101.htm,5
101,Gopalganj,NOTA,None of the Above,2229,8,2237,1.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04101.htm,6
101,Gopalganj,SAHANA KHATOON,Samata Party,1805,1,1806,0.91,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04101.htm,7
101,Gopalganj,BRIJ KISHOR GUPTA,Aam Aadmi Party,1569,4,1573,0.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04101.htm,8
101,Gopalganj,MD. HAYATULLAH,Bhartiya Insan Party,1022,2,1024,0.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04101.htm,9
102,Kuchaikote,AMRENDRA KUMAR PANDEY,Janata Dal (United),100926,499,101425,50.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04102.htm,1
102,Kuchaikote,HARI NARAYAN SINGH,Indian National Congress,76561,373,76934,38.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04102.htm,2
102,Kuchaikote,VIJAY KUMAR CHOUBEY,Jan Suraaj Party,6012,65,6077,3.01,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04102.htm,3
102,Kuchaikote,NOTA,None of the Above,5776,7,5783,2.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04102.htm,4
102,Kuchaikote,BALIRAM SINGH,Bahujan Samaj Party,5509,33,5542,2.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04102.htm,5
102,Kuchaikote,VISHWAKARMA SHARMA,Jagrook Janta Party,2645,1,2646,1.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04102.htm,6
102,Kuchaikote,BRAJ BIHARI BHATT,Janshakti Janta Dal,2023,2,2025,1,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04102.htm,7
102,Kuchaikote,PANKAJ PANDEY,Independent,1584,4,1588,0.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04102.htm,8
103,Bhorey,SUNIL KUMAR,Janata Dal (United),100856,613,101469,47.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04103.htm,1
103,Bhorey,DHANANJAY,Communist Party of India (Marxist-Leninist) (Liberation),84836,470,85306,40.03,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04103.htm,2
103,Bhorey,PRITI KINAR,Jan Suraaj Party,8536,66,8602,4.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04103.htm,3
103,Bhorey,NOTA,None of the Above,7511,6,7517,3.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04103.htm,4
103,Bhorey,SURENDRA KUMAR RAM,Bahujan Samaj Party,6105,27,6132,2.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04103.htm,5
103,Bhorey,DHARMENDRA KUMAR RAM,Aam Aadmi Party,4084,11,4095,1.92,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04103.htm,6
104,Hathua,RAMSEWAK SINGH,Janata Dal (United),91842,279,92121,46.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,1
104,Hathua,RAJESH KUMAR SINGH,Rashtriya Janata Dal,79450,323,79773,40.69,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,2
104,Hathua,SANJAY KUMAR SUMAN,Jan Suraaj Party,5052,37,5089,2.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,3
104,Hathua,SHABANM KHATUN,Bahujan Samaj Party,3776,13,3789,1.93,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,4
104,Hathua,NAURAJ SAH,Independent,3639,1,3640,1.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,5
104,Hathua,INDRAJIT GUPT JYOTISHKAR,Aam Aadmi Party,3114,3,3117,1.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,6
104,Hathua,NOTA,None of the Above,3092,2,3094,1.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,7
104,Hathua,SURENDRA GUPTA,Independent,2452,2,2454,1.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,8
104,Hathua,LAXMAN BHAR,Suheldev Bharatiya Samaj Party,1175,1,1176,0.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,9
104,Hathua,SURENDRA RAM,Bhartiya Rashtriya Dal,1043,1,1044,0.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,10
104,Hathua,KALINDRA KUMAR RAY,Rashtriya Sab Janshakti Party,760,1,761,0.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04104.htm,11
105,Siwan,MANGAL PANDEY,Bharatiya Janata Party,92233,146,92379,48.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,1
105,Siwan,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,82847,162,83009,43.56,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,2
105,Siwan,MOHAMMAD KAIFI SAMSHIR,All India Majlis-E-Ittehadul Muslimeen,3491,2,3493,1.83,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,3
105,Siwan,NOTA,None of the Above,2702,2,2704,1.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,4
105,Siwan,INTEKHAB AHMAD,Jan Suraaj Party,2524,19,2543,1.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,5
105,Siwan,SUNITA DEVI,Bahujan Samaj Party,2174,9,2183,1.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,6
105,Siwan,SUSHIL KUMAR,Independent,1998,0,1998,1.05,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,7
105,Siwan,SAROJ KUMARI,Independent,636,0,636,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,8
105,Siwan,SATYENDRA KUMAR KUSHWAHA,Independent,441,4,445,0.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,9
105,Siwan,MD ARIF,Independent,298,0,298,0.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,10
105,Siwan,KUMAR GAURAW BUNTY,Rashtrawadi Janlok Party (Satya),240,0,240,0.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,11
105,Siwan,VIMAL PRASAD,Independent,226,1,227,0.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,12
105,Siwan,RAKESH SHARMA,Jagrook Janta Party,221,1,222,0.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,13
105,Siwan,DEWA KANT MISHRA ALIAS MUNNA BHAIYA,Independent,205,0,205,0.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04105.htm,14
106,Ziradei,BHISM PRATAP SINGH,Janata Dal (United),66137,90,66227,41.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,1
106,Ziradei,AMARJEET KUSHWAHA,Communist Party of India (Marxist-Leninist) (Liberation),63498,103,63601,40.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,2
106,Ziradei,MUNNA PANDEY,Jan Suraaj Party,10090,35,10125,6.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,3
106,Ziradei,PRAMOD KUMAR MALL,Bahujan Samaj Party,5090,12,5102,3.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,4
106,Ziradei,NOTA,None of the Above,4704,3,4707,2.98,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,5
106,Ziradei,JAGLAL RAJBHAR,Suheldev Bharatiya Samaj Party,2386,4,2390,1.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,6
106,Ziradei,RAGHWENDRA KUMAR KHARWAR,Independent,2262,1,2263,1.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,7
106,Ziradei,PRABUNATH THAKUR,Independent,1039,0,1039,0.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,8
106,Ziradei,VIVEK SHUKLA,Independent,882,0,882,0.56,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,9
106,Ziradei,PARMANAND PRASAD,Swatantra Samaj Party,807,0,807,0.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04106.htm,10
